explanation_source,prompt_id,execution_mode,numerical_faithfulness_mean,numerical_faithfulness_std,numerical_faithfulness_count,directional_faithfulness_mean,directional_faithfulness_std,directional_faithfulness_count,attribution_faithfulness_mean,attribution_faithfulness_std,attribution_faithfulness_count,unsupported_claim_rate_mean,unsupported_claim_rate_std,unsupported_claim_rate_count,total_claims_count_mean,total_claims_count_std,total_claims_count_count,numerical_mae_mean,numerical_mae_std,numerical_mae_count
gemini__gemini-2.5-flash,combined_audit_v1,PILOT_VALIDATION_RUN,0.48276315789473684,0.22857933757724352,19,0.6043842105263157,0.4233834409494252,19,1.0,0.0,19,0.06821578947368422,0.05521773329443576,19,22.736842105263158,12.64402408370214,19,0.01782875,0.019822268580227304,16
gemini__gemini-flash-lite-latest,combined_audit_v1,PILOT_VALIDATION_RUN,0.7489600000000001,0.09256558755822812,5,0.79164,0.06871261165171934,5,1.0,0.0,5,0.04970000000000001,0.05545317844812865,5,56.0,25.894014752448104,5,0.000468,0.000664206293255341,5
gemini_gemini-2.5-flash,combined_audit_v1,PILOT_VALIDATION_RUN,0.7308,,1,0.75,,1,1.0,,1,0.0333,,1,30.0,,1,0.00369,,1
template_baseline,deterministic_template,PILOT_VALIDATION_RUN,0.83562,0.006883676343350243,25,1.0,0.0,25,1.0,0.0,25,0.0,0.0,25,52.12,3.4438350715445183,25,0.0,0.0,25
