explanation_source,prompt_id,execution_mode,numerical_faithfulness_mean,numerical_faithfulness_std,numerical_faithfulness_count,directional_faithfulness_mean,directional_faithfulness_std,directional_faithfulness_count,attribution_faithfulness_mean,attribution_faithfulness_std,attribution_faithfulness_count,unsupported_claim_rate_mean,unsupported_claim_rate_std,unsupported_claim_rate_count,total_claims_count_mean,total_claims_count_std,total_claims_count_count,numerical_mae_mean,numerical_mae_std,numerical_mae_count
gemini__gemini-2.5-flash,combined_audit_v1,FINAL_EMPIRICAL_RUN,0.8813333333333333,0.10819155763208671,36,0.9418217391304348,0.21016211482074704,23,,,0,0.08511666666666667,0.0872426517576941,36,36.27777777777778,16.84655303634394,36,0.019410555555555556,0.02745947257265248,36
template_baseline,deterministic_template,FINAL_EMPIRICAL_RUN,1.0,0.0,36,1.0,0.0,36,,,0,0.0,0.0,36,57.416666666666664,2.5227535976162465,36,0.0,0.0,36
